Name, N, Comparisons, CPU_Seconds
Bubble Sort, 2000, 3998026, 0.002976
Bubble Sort, 4000, 19994026, 0.011607
Bubble Sort, 6000, 55988026, 0.030861
Bubble Sort, 8000, 119980026, 0.053336
Bubble Sort, 10000, 219970026, 0.080206
Bubble Sort, 12000, 363958026, 0.133216
Bubble Sort, 14000, 559944026, 0.186499
Bubble Sort, 16000, 815928026, 0.256933
Bubble Sort, 18000, 1139910026, 0.348460
Bubble Sort, 20000, 1539890026, 0.447324
Bubble Sort, 22000, 2023868026, 0.555465
Bubble Sort, 24000, 2599844026, 0.667097
Bubble Sort, 26000, 3275818026, 0.786912
Bubble Sort, 28000, 4059790026, 0.947883
Bubble Sort, 30000, 4959760026, 1.073852
Bubble Sort, 32000, 5983728026, 1.330364
Bubble Sort, 34000, 7139694026, 1.471277
Bubble Sort, 36000, 8435658026, 1.703354
Bubble Sort, 38000, 9879620026, 1.898922
Bubble Sort, 40000, 11479580026, 2.224475
Bubble Sort, 42000, 13243538026, 2.280757
Bubble Sort, 44000, 15179494026, 2.695086
Bubble Sort, 46000, 17295448026, 2.985551
Bubble Sort, 48000, 19599400026, 3.100607
Bubble Sort, 50000, 22099350026, 3.522737
 Insertion Sort, 2000, 1001543, 0.000497
 Insertion Sort, 4000, 3978939, 0.001969
 Insertion Sort, 6000, 8982365, 0.004440
 Insertion Sort, 8000, 16026117, 0.007739
 Insertion Sort, 10000, 25005862, 0.012144
 Insertion Sort, 12000, 35900905, 0.017459
 Insertion Sort, 14000, 48450940, 0.023394
 Insertion Sort, 16000, 63968838, 0.031113
 Insertion Sort, 18000, 81614359, 0.039712
 Insertion Sort, 20000, 99731672, 0.048424
 Insertion Sort, 22000, 122207837, 0.059789
 Insertion Sort, 24000, 143752350, 0.070515
 Insertion Sort, 26000, 170453166, 0.083420
 Insertion Sort, 28000, 195620837, 0.096397
 Insertion Sort, 30000, 224402566, 0.110049
 Insertion Sort, 32000, 257890996, 0.128469
 Insertion Sort, 34000, 289016378, 0.148458
 Insertion Sort, 36000, 323366499, 0.166864
 Insertion Sort, 38000, 360842508, 0.185433
 Insertion Sort, 40000, 401312861, 0.207521
 Insertion Sort, 42000, 441080269, 0.227740
 Insertion Sort, 44000, 483216478, 0.250618
 Insertion Sort, 46000, 527570141, 0.285542
 Insertion Sort, 48000, 575138549, 0.289631
 Insertion Sort, 50000, 625264489, 0.314328
Selection Sort, 2000, 1999000, 0.004000
Selection Sort, 4000, 7998000, 0.014660
Selection Sort, 6000, 17997000, 0.034384
Selection Sort, 8000, 31996000, 0.059148
Selection Sort, 10000, 49995000, 0.092409
Selection Sort, 12000, 71994000, 0.131422
Selection Sort, 14000, 97993000, 0.170394
Selection Sort, 16000, 127992000, 0.223980
Selection Sort, 18000, 161991000, 0.282395
Selection Sort, 20000, 199990000, 0.352848
Selection Sort, 22000, 241989000, 0.423309
Selection Sort, 24000, 287988000, 0.516855
Selection Sort, 26000, 337987000, 0.599585
Selection Sort, 28000, 391986000, 0.695992
Selection Sort, 30000, 449985000, 0.798923
Selection Sort, 32000, 511984000, 0.918464
Selection Sort, 34000, 577983000, 1.113398
Selection Sort, 36000, 647982000, 1.140892
Selection Sort, 38000, 721981000, 1.298819
Selection Sort, 40000, 799980000, 1.583066
Selection Sort, 42000, 881979000, 1.691122
Selection Sort, 44000, 967978000, 1.697121
Selection Sort, 46000, 1057977000, 1.831934
Selection Sort, 48000, 1151976000, 2.000158
Selection Sort, 50000, 1249975000, 2.398554
Merge Sort, 2000, 19471, 0.000095
Merge Sort, 4000, 62361, 0.000195
Merge Sort, 6000, 130754, 0.000303
Merge Sort, 8000, 224539, 0.000417
Merge Sort, 10000, 348207, 0.000544
Merge Sort, 12000, 496949, 0.000649
Merge Sort, 14000, 673323, 0.000893
Merge Sort, 16000, 876825, 0.000981
Merge Sort, 18000, 1119025, 0.001053
Merge Sort, 20000, 1386279, 0.001188
Merge Sort, 22000, 1680773, 0.001293
Merge Sort, 24000, 2002238, 0.001429
Merge Sort, 26000, 2356248, 0.001581
